,id,Title,Year,Genre,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic
3055,tt18556326,Awareness,2023,"Mystery, Sci-Fi, Thriller",,0,2.478,Federation Spain,0,112,5.3/10,13%,
3056,tt31021984,Dilig,2024,Drama,,0,1.4847,Vivamax,0,45,,,
3057,tt22234810,Breathing In,2023,"Drama, Horror, Thriller",,0,15.7323,Kaapland Films,0,105,4.9/10,100%,
3058,tt27489635,Just a Bit Outside: The Story of the 1982 Milwaukee Brewers,2024,Documentary,"$227,662",0,0.5599,Cannonball Productions,0,120,,,
3059,tt16464084,Stay the Night,2022,"Drama, Romance",,0,1.0217,"Low End,Relay Station (CA)",0,94,6.6/10,87%,
3060,tt29716595,Scurry,2024,"Horror, Thriller",,0,0.4787,"Sparke Films,Umbrella Entertainment",0,96,,,
3061,tt8859236,Hostile Territory,2022,"Drama, History, Western",,0,2.351,P12 Films,0,94,4.9/10,,
3062,tt32117345,The Intruder,2024,Thriller,,0,0.5685,Dreamscape Pictures Entertainment,0,101,5.0/10,,
3063,tt27219011,Footage,2024,Thriller,,0,0.7852,"Movie Bucket,Pale Blue Dot Pictures,Cast n' Co Entertainment",0,124,7.5/10,,
3064,tt6981064,Tollbooth,2021,"Comedy, Crime, Thriller",,0,1.4424,"Ffilm Cymru Wales,BFI,Great Point Media,Fields Park,Samuel Goldwyn Films",0,83,5.8/10,84%,
3065,tt14048164,The Visitors,2021,Thriller,,1000000,0.4744,,0,82,,,
3066,tt21651430,The People's Joker,2022,Comedy,,0,2.2695,Haunted Gay Ride Productions,4057,92,6.1/10,96%,
3067,tt11188560,A Taste of Hunger,2021,"Drama, Romance","$5,860",0,1.6753,Zentropa Entertainments,0,104,6.3/10,82%,61/100
3068,tt31530596,Snow White and the Seven Samurai,2024,Action,,0,1.9218,The Asylum,0,88,3.3/10,,
3069,tt15829724,The Locksmith,2023,"Action, Crime, Mystery",,0,3.0125,"Chicken Soup for the Soul Entertainment,Screen Media Films,Arclight Films",0,91,4.9/10,33%,42/100
3070,tt14810692,Escape from Mogadishu,2021,"Action, Drama, Thriller","$346,271",0,2.7357,"Filmmaker R&K,Dexter Studios,filmK",29855981,121,7.0/10,95%,71/100
3071,tt7277234,Introspectum Motel,2021,"Drama, Thriller",,0,0.2823,,0,0,3.9/10,,
3072,tt11027830,Haseen Dillruba,2021,"Crime, Drama, Mystery",,0,1.7058,"Colour Yellow Productions,Eros International,T-Series",0,136,6.9/10,62%,
3073,tt29474638,Desert Road,2024,"Horror, Sci-Fi",,0,0.9999,"Filmopoly,Firebrand Media Group,Octopus,Spooky Pictures",0,90,,87%,
3074,tt10895576,Mimi,2021,"Comedy, Drama",,0,2.2418,"Maddock Films,Jio Studios",0,132,7.8/10,25%,
3075,tt13598996,Trapped Inn,2024,"Sci-Fi, Thriller",,0,0.6603,,0,114,7.5/10,,
3076,tt13656980,Montana Story,2021,Drama,"$292,915",0,1.5116,Big Creek Projects,289303,113,6.5/10,87%,73/100
3077,tt27760132,Ernest Cole: Lost and Found,2024,Documentary,,0,1.8382,"Velvet Film,Velvet Film,ARTE France Cinéma",0,105,,97%,
3078,tt13206926,Joji,2021,"Crime, Drama",,0,0.9103,"Fahadh Faasil and Friends Private Limited,Working Class Hero,Bhavana Studios",0,113,7.8/10,,
3079,tt13298500,Monsters of California,2023,"Adventure, Sci-Fi",,0,1.7389,"The Cartel,Striker Entertainment,To The Stars",0,110,4.8/10,44%,
3080,tt24070754,All Your Faces,2023,Drama,,0,3.0075,"Chi-Fou-Mi Productions,Trésor Films,France 3 Cinéma",0,115,7.6/10,100%,
3081,tt30515931,Mission: Cross,2024,"Action, Comedy, Crime",,0,4.2115,"Sanai Pictures,Plus M Entertainment,Obra Creative Inc.",0,100,6.1/10,,
3082,tt1800393,The Last Son,2021,"Drama, Thriller, Western",,0,2.182,"Blind Wink Productions,VMI Worldwide,VMI WorldWide,VMI Productions,Decal",0,96,4.8/10,9%,
3083,tt14315756,Single All the Way,2021,"Comedy, Drama, Romance",,0,2.6683,Muse Entertainment,0,99,6.2/10,70%,49/100
3084,tt22036406,Kanguva,2024,"Action, Adventure, Drama",,37647000,3.9451,"UV Creations,Studio Green",11882000,154,4.6/10,,
3085,tt29795484,Pusaka,2024,"Action, Horror, Thriller",,0,3.7112,"MVP Pictures,A&Z Films",0,90,5.1/10,,
3086,tt23004264,Bonnard: Pierre & Marthe,2023,"Biography, Drama, Romance",,0,0.8978,"Les Films du Kiosque,France 3 Cinéma,uMedia",2391017,122,6.5/10,,
3087,tt21158192,3 Days in Malay,2023,"Action, History, War",,0,4.5821,,0,99,2.7/10,,
3088,tt18264266,Eyes on Fire,2022,Drama,,0,2.2629,"Viva Films,Vivamax",0,107,,,
3089,tt14061328,Pretty Boy,2021,Horror,,0,0.7655,"Hollywood Media Bridge,Silent Partners,Wolfpack Entertainment",0,97,4.7/10,,
3090,tt15427340,Good Girl Jane,2022,"Crime, Drama",,0,1.9558,Astute Films,0,118,,69%,
3091,tt7682204,Out of Time,2021,"Action, Drama, Sci-Fi",,0,1.2156,Creekview Entertainment,0,92,5.6/10,,
3092,tt2560092,The Magician's Elephant,2023,"Animation, Adventure, Comedy",,0,4.6884,"Animal Logic,Pistor Productions,Netflix",0,99,6.5/10,66%,53/100
3093,tt14140954,Mission Possible,2021,"Action, Comedy, Crime",,0,3.1881,"Redrover,kth,GNOSIS COMPANY,Merry Christmas",0,105,6.5/10,,
3094,tt15737898,Blue Giant,2023,"Animation, Drama, Music","$266,645",0,6.6423,"NUT,TOHO",0,120,7.9/10,100%,71/100
3095,tt28522540,And Their Children After Them,2024,Drama,,0,2.0228,"Chi-Fou-Mi Productions,Trésor Films,France 3 Cinéma",2288190,146,6.5/10,,57/100
3096,tt15321508,Forever Young,2023,"Romance, Sci-Fi, Thriller",,200000,1.014,"Dark Matter Studios,Trigger Films",0,99,6.0/10,,
3097,tt8110246,Dark Web: Cicada 3301,2021,"Action, Comedy, Thriller",,0,2.9506,Lionsgate,0,104,5.0/10,,
3098,tt14035292,Kid 90,2021,"Documentary, Biography, History",,0,4.3208,"STXfilms,Appian Way",0,71,6.8/10,76%,67/100
3099,tt7268738,Minnal Murali,2021,"Action, Comedy, Drama",,2111711,1.8122,Weekend Blockbusters,0,158,7.8/10,75%,
3100,tt10406596,You Are Not My Mother,2021,"Drama, Horror","$45,040",0,2.0275,"Fís Éireann/Screen Ireland,Fantastic Films",0,93,5.8/10,88%,74/100
3101,tt23469212,Dead Man's Hand,2023,Western,,0,1.5,Grindstone Entertainment Group,0,96,3.8/10,,
3102,tt14303268,Went Up the Hill,2024,"Horror, Thriller",,0,0.4674,"POP Film,Causeway Films,Screen Australia,Create NSW,Head Gear Films,Spectrum Films,New Zealand Film Commission,Fulcrum Media Finance,Vendetta Films",0,100,,88%,
3103,tt23769666,1984,2023,"Drama, Sci-Fi",,0,1.4948,AElita Productions,0,132,6.3/10,,
3104,tt32200215,The Witch. Revenge,2024,"Drama, Fantasy, Horror",,0,2.4091,FILM.UA Group,0,100,,,
3105,tt21106970,Daughter of the Bride,2023,Comedy,,0,1.124,"Choice Films,MarVista Entertainment,Particular Crowd",0,102,5.5/10,,
3106,tt27075304,Chantal in Fairyland,2024,"Comedy, Fantasy",,0,2.2218,Constantin Film,29671107,118,4.6/10,,
3107,tt28738494,This Too Shall Pass,2024,Adventure,,0,1.1221,Peterson Polaris,0,105,,,
3108,tt21881904,Haunted Heart,2024,"Romance, Thriller",,0,1.4874,"Fernando Trueba PC,Atlántida Films,Caracol Televisión",271682,128,5.2/10,,
3109,tt22000724,Fight Another Day,2024,"Action, Sci-Fi",,0,1.699,"High Star Entertainment,Kemodo Entertainment",0,108,,,
3110,tt11261830,The Retaliators,2021,"Horror, Thriller",,0,1.9087,Better Noise Films,0,96,5.3/10,86%,48/100
3111,tt32047707,Så länge hjärtat slår,2024,Drama,,0,0.3502,"Triart Film AB,Breidablick Film AB",0,104,,,
3112,tt11188154,WeWork: or The Making and Breaking of a $47 Billion Unicorn,2021,Documentary,,0,0.53,"Campfire Studios,Olive Hill Media,Forbes Entertainment",0,104,6.6/10,75%,61/100
3113,tt16227044,Martha,2024,Documentary,,0,2.1426,This Machine Filmworks,0,116,7.2/10,89%,69/100
3114,tt11946138,Rebel,2022,"Action, Drama, Thriller","$10,500",0,1.4009,"Caviar,Beluga Tree,Calach Films,Le Collectif 64",0,135,7.4/10,91%,
3115,tt20216624,Reverse the Curse,2023,"Comedy, Drama, Romance",,0,1.8229,"Yale Productions,Pinnacle Sports, Media & Entertainment,Great Escape",0,105,6.2/10,58%,
3116,tt8165192,Raging Fire,2021,"Action, Adventure, Crime","$385,305",0,2.9429,"Tencent Pictures,Super Bullet Pictures,Emperor Film Production,One Cool Pictures,Emperor Motion Pictures,Tianjin Maoyan Media",205000000,125,6.5/10,90%,72/100
3117,tt12915716,Adipurush,2023,"Action, Drama",,63000000,4.234,"Retrophiles,T-Series,AA Films,UV Creations,People Media Factory",54300000,179,2.7/10,7%,
3118,tt20251716,Naadi Dosh,2022,"Drama, Family, Romance",,0,1.1045,Big Box Series,0,131,7.2/10,,
3119,tt31645789,The Hangman,2024,"Action, Horror, Mystery",,0,1.5624,"Traverse Media,Epic Pictures Group",0,98,3.3/10,,
3120,tt21191906,After Death,2023,Documentary,"$11,478,326",40000000,0.9229,"Sypher Studios,Theora Films",11537680,106,6.4/10,47%,28/100
3121,tt19396786,Part 2,2024,"Biography, Drama, History",,0,0.9845,"Lanistar Media,O3 Medya",2200000,142,,,
3122,tt17013888,The Greatest,2024,Drama,,0,0.551,RPS Productions,0,117,9.6/10,,
3123,tt13391554,Dead Wrong,2024,"Crime, Drama",,0,1.0828,Deadly Instinct,0,110,3.8/10,,
3124,tt10310074,True Things,2021,Drama,,0,1.8937,"The Bureau,BBC Film,Riff Raff Films",0,102,5.9/10,79%,68/100
3125,tt23218142,Tokyo Revengers 2: Bloody Halloween - Destiny,2023,"Action, Crime, Drama",,0,1.4898,Warner Bros. Japan,0,90,6.1/10,,
3126,tt23697628,Hoax: The Kidnapping of Sherri Papini,2023,"Crime, Drama",,0,1.2171,Johnson Production Group,0,88,5.2/10,,
3127,tt22054690,"Red, White & Brass",2023,Family,,0,0.3827,"Piki Films,Miss Conception Films,Department of Post,Cause & FX",0,85,7.0/10,,
3128,tt15471560,Smoking Causes Coughing,2022,"Comedy, Horror, Sci-Fi","$64,484",6009575,1.2843,"Chi-Fou-Mi Productions,Gaumont",0,77,6.4/10,94%,74/100
3129,tt20833316,Our Son,2023,Drama,,0,3.6685,"Tigresa,Slated",0,104,4.9/10,,58/100
3130,tt26628567,The Black Mass,2023,"Biography, Crime, Horror",,0,1.2714,"Jaguar Motion Pictures,Roman Media, Inc.",0,80,4.2/10,,
3131,tt27240621,Crackcoon,2024,"Comedy, Horror",,0,0.9559,Fuzzy Monkey Films,0,88,3.7/10,,
3132,tt8649190,Here Before,2021,"Drama, Mystery, Thriller",,0,1.0434,"BBC Film,Northern Ireland Screen,Pia Pressure,Rooks Nest Entertainment",0,83,5.8/10,86%,69/100
3133,tt13269670,New Gods: Nezha Reborn,2021,"Animation, Action, Fantasy",,0,5.3364,"bilibili,Alibaba Pictures Group,Light Chaser Animation Studios",70000000,116,6.8/10,80%,
3134,tt16732726,The Lie: The Murder of Grace Millane,2023,Documentary,,0,0.6581,"Ingenious Media,Raptor Films",0,104,7.3/10,,
3135,tt7645334,Landscape with Invisible Hand,2023,"Comedy, Drama, Sci-Fi","$203,403",0,2.1902,"Metro-Goldwyn-Mayer,Plan B Entertainment,Annapurna Pictures",203403,105,5.9/10,72%,53/100
3136,tt11433048,Wild Indian,2021,"Crime, Drama, Mystery",,20000000,2.4274,"Cinereach,Grey Hour Production Services,Pureplay Entertainment,Thunderbird Films,BoulderLight Pictures",0,90,5.8/10,90%,74/100
3137,tt7458836,Een Schitterend Gebrek,2024,Drama,,0,1.5893,"Kaap Holland Film,Kino Produzioni,Eyeworks Film & TV Drama,Avrotros",0,102,6.7/10,,
3138,tt27739396,Festival of the Living Dead,2024,Horror,,0,1.9585,"Enlighten Content,Twisted Twins Productions",0,88,4.4/10,,
3139,tt29438301,Ahasss,2023,"Drama, Thriller",,0,2.6422,Vivamax,0,107,,,
3140,tt17221298,Unhuman,2022,"Comedy, Horror, Thriller",,0,1.7669,"Blumhouse Productions,Epix",0,87,4.4/10,50%,
3141,tt18072316,Bade Miyan Chote Miyan,2024,"Action, Adventure, Sci-Fi","$689,505",41100000,2.3445,"Pooja Entertainment,AAZ Films",12018000,164,3.8/10,17%,
3142,tt30021427,Ferry 2,2024,"Action, Crime, Drama",,0,10.601,"De Mensen,VRT",0,94,,,
3143,tt13067292,Rogue Hostage,2021,"Action, Thriller",,0,4.9354,"Yale Productions,BondIt Media Capital,Buffalo 8 Productions,SSS Entertainment,Voltron Filmz,Red Sea Media,Red Wire Pictures,Highland Myst Entertainment,Vertical",0,94,3.5/10,0%,
3144,tt30319555,Frida,2024,"Documentary, Animation",,0,2.5111,"Imagine Documentaries,Storyville Films,TIME Studios,Imagine Entertainment",0,87,7.5/10,89%,75/100
3145,tt19816664,The Forest Hills,2023,"Drama, Horror, Thriller",,0,1.3152,"Digital Thunderdome,Dreznick Goldberg Productions",0,82,6.5/10,,
