,id,Title,Year,BoxOffice,Production,budget,genres,original_language,popularity,production_companies,revenue,runtime,Metacritic,imdb,rotten
8163,tt6259380,Code 8,2019,,,15000000,"[""Action"", ""Drama"", ""Science Fiction"", ""Crime""]",en,2.9815,"[""Colony Pictures"", ""The Fyzz"", ""Lane E Productions"", ""XYZ Films"", ""Blue Ice Pictures"", ""T\u00e9l\u00e9film Canada"", ""Collective Pictures""]",157209,99,48.0,61.0,85.0
8164,tt6261048,"Love, Kennedy",2017,"$407,871",,0,"[""Family"", ""Drama""]",en,0.5257,"[""Remember Films""]",407871,92,,67.0,
8165,tt6264938,Kesari,2019,,,0,"[""Action"", ""History"", ""War"", ""Drama""]",hi,3.7816,"[""Dharma Productions"", ""Azure Entertainment"", ""Zee Studios"", ""Cape Of Good Films""]",0,151,,74.0,35.0
8166,tt6265828,A Ghost Story,2017,"$1,596,371",,100000,"[""Fantasy"", ""Romance"", ""Mystery"", ""Drama""]",en,3.6627,"[""Sailor Bear"", ""Zero Trans Fat Productions"", ""Ideaman Studios""]",1929659,93,84.0,68.0,91.0
8167,tt6265988,Bhoomi,2017,,,0,"[""Action"", ""Drama""]",hi,0.9217,"[""T-Series"", ""Legend Global Studio""]",339925,135,,53.0,40.0
8168,tt6266538,Vice,2018,"$47,836,282",,60000000,"[""Comedy"", ""Drama"", ""Biography""]",en,3.3293,"[""Annapurna Pictures"", ""Gary Sanchez Productions"", ""Plan B Entertainment""]",76100000,132,61.0,72.0,64.0
8169,tt6268882,Family,2018,"$194,601",,0,"[""Comedy""]",en,1.048,"[""Stage 6 Films"", ""Naegle Ink""]",0,84,60.0,64.0,77.0
8170,tt6269368,The Clovehitch Killer,2018,"$8,208",,0,"[""Horror"", ""Mystery"", ""Drama"", ""Crime""]",en,2.2857,"[""End Cue""]",167994,109,59.0,65.0,79.0
8171,tt6270534,The Translators,2019,,,0,"[""Thriller"", ""Mystery""]",fr,0.7941,"[""Art\u00e9mis Productions"", ""Wild Bunch"", ""Les Productions du Tr\u00e9sor"", ""Mars Distribution"", ""Shelter Prod"", ""BeTV"", ""VOO"", ""France 2 Cin\u00e9ma""]",0,105,,65.0,71.0
8172,tt6270640,The Dare,2019,,,0,"[""Thriller"", ""Horror"", ""Mystery""]",en,1.4988,"[""B2Y Productions"", ""JupiterLights Pictures"", ""Nu Boyana Film Studios"", ""Millennium Media""]",0,97,,51.0,44.0
8173,tt6271806,Daddy Issues,2018,,,0,"[""Romance"", ""Drama""]",en,0.3306,"[""Under 1 Roof productions""]",0,90,60.0,44.0,83.0
8174,tt6272828,Mubarakan,2017,"$758,868",,0,"[""Romance"", ""Comedy"", ""Drama""]",hi,0.9065,"[""Cine1 Studios"", ""Mark Production"", ""Sony Pictures Networks Productions""]",0,156,,56.0,38.0
8175,tt6273736,Vanishing Time: A Boy Who Returned,2016,"$57,759",,0,"[""Fantasy"", ""Drama""]",ko,1.0523,"[""Barunson E&A""]",0,129,,72.0,
8176,tt6273924,Future '38,2017,,,0,"[""Comedy"", ""Science Fiction"", ""Sci-Fi"", ""Romance""]",en,0.3174,"[""Big Jack Productions""]",0,75,,58.0,75.0
8177,tt6277440,The Bride of Badrinath,2017,"$1,993,259",,0,"[""Comedy"", ""Romance"", ""Drama""]",hi,2.4296,"[""Dharma Productions""]",0,139,,61.0,80.0
8178,tt6280608,Postcards from London,2018,"$5,312",,0,"[""Drama""]",en,0.4558,"[""Creativity Capital"", ""Diablo Films"", ""The Bureau"", ""BFI""]",0,90,42.0,53.0,53.0
8179,tt6285672,Breaking & Exiting,2018,,,0,"[""Comedy"", ""Romance"", ""Drama""]",en,1.4688,"[""Kali Pictures""]",0,78,,56.0,0.0
8180,tt6288124,"Don't Worry, He Won't Get Far on Foot",2018,"$1,441,705",,3500000,"[""Comedy"", ""Drama"", ""Biography""]",en,1.1985,"[""Anonymous Content"", ""Iconoclast"", ""Amazon Studios"", ""Big Indie Pictures""]",4200000,115,67.0,68.0,77.0
8181,tt6288250,Patti Cake$,2017,"$800,148",,0,"[""Drama"", ""Music""]",en,0.7914,"[""Stay Gold Features"", ""RT Features"", ""Department of Motion Pictures"", ""Maiden Voyage Pictures""]",0,108,67.0,68.0,86.0
8182,tt6288694,Acts of Vengeance,2017,,,10000000,"[""Action"", ""Thriller"", ""Drama""]",en,1.7817,"[""Nu Boyana Film Studios""]",320705,87,49.0,57.0,64.0
8183,tt6289452,Bad Boy,2017,,,0,"[""Romance"", ""Drama""]",tr,0.5036,"[""TAFF Pictures"", ""sanor film""]",0,120,,20.0,
8184,tt6290584,My Zoe,2019,"$52,733",,0,"[""Science Fiction"", ""Drama""]",en,0.7153,"[""Baby Cow Productions"", ""Electrick Films"", ""Magnolia Mae Films"", ""Amusement Park Films"", ""Metalwork Pictures"", ""Canal+"", ""Cin\u00e9+"", ""Lago Film"", ""Warner Bros. Entertainment Germany""]",0,100,59.0,60.0,75.0
8185,tt6290798,UFO,2018,,,0,"[""Thriller"", ""Sci-Fi"", ""Science Fiction"", ""Mystery"", ""Drama""]",en,1.5115,"[""Story Mining & Supply Company""]",0,88,,62.0,
8186,tt6292852,I Am Mother,2019,,,0,"[""Thriller"", ""Sci-Fi"", ""Science Fiction"", ""Mystery"", ""Drama""]",en,3.3469,"[""Mother Film Holdings"", ""Rhea Films"", ""Southern Light Films"", ""The Penguin Empire"", ""Fin Design & Effects"", ""Hercules Film Fund""]",643593,114,64.0,67.0,89.0
8187,tt6293042,Outrage Coda,2017,,,0,"[""Adventure"", ""Action"", ""Thriller"", ""Drama"", ""Crime""]",ja,1.1096,"[""TV Tokyo"", ""Office Kitano"", ""Bandai Visual"", ""Warner Bros. Japan"", ""Celluloid Dreams"", ""TFC""]",0,104,58.0,64.0,60.0
8188,tt6293516,Bingo: The King of the Mornings,2017,,,0,"[""Comedy"", ""Drama"", ""Biography""]",pt,0.8778,"[""Gullane Entretenimento""]",0,113,,79.0,85.0
8189,tt6294822,The Post,2017,"$81,903,458",,50000000,"[""History"", ""Drama"", ""Biography""]",en,5.1673,"[""20th Century Fox"", ""DreamWorks Pictures"", ""Reliance Entertainment"", ""Participant"", ""Amblin Entertainment"", ""Pascal Pictures"", ""TSG Entertainment"", ""Star Thrower Entertainment""]",179769467,116,83.0,72.0,88.0
8190,tt6294892,Awakening the Zodiac,2017,,,0,"[""Thriller"", ""Mystery"", ""Drama"", ""Crime""]",en,0.5817,"[""TAJJ Media"", ""Bunk 11 Pictures""]",0,100,,48.0,42.0
8191,tt6299040,The Ghazi Attack,2017,,,1900000,"[""Action"", ""Thriller"", ""History"", ""War"", ""Drama""]",te,2.5788,"[""Matinee Entertainment"", ""PVP Cinema""]",4300000,126,,75.0,67.0
8192,tt6301452,Matriarch,2018,,,0,"[""Thriller"", ""Horror""]",en,0.4834,"[""New Light Films""]",0,91,,52.0,
8193,tt6301712,Outlaws,2017,,,0,"[""Thriller"", ""Drama"", ""Crime""]",en,0.4003,"[""See Pictures"", ""ScreenWest"", ""Metrol Technology"", ""Kreo Films"", ""Head Gear Films"", ""Ticket to Ride""]",0,92,24.0,53.0,33.0
8194,tt6302006,Misbehavior,2016,,,0,"[""Thriller"", ""Romance"", ""Drama""]",ko,0.5175,"[""Filmmaker R&K"", ""Filament Pictures"", ""filmK""]",0,96,,58.0,
8195,tt6302160,Pandora,2016,,,13938145,"[""Action"", ""Thriller"", ""Drama""]",ko,4.0709,"[""Next Entertainment World"", ""CAC Entertainment""]",30169000,136,,67.0,
